ID,Form,Meaning,Parameter_ID
we-all,=we,ALL,
a496a9c9-c4ac-4cf3-9efe-9d8ed859c13e,de,that,
5c0489ff-f4a8-4091-b412-cc34f838ca89,ero,where,
05c12420-263b-4e86-8798-0bbd6e295012,d-indug-alle,REM.TR-run-HAB.SG`S|A,
fa5a2e6e-99f0-442c-9786-7d9995cedd82,g-o-mpedä-g-alle,REM.INTR-RT.EXT.INTR-push-III.NPL-HAB.SG`S|A,
66e7cbfd-144a-4026-834d-a4498a2001c3,wup,banana,
c722931e-4dfe-424b-910c-e10fc6e6d4bf,pätt,trunk,
30bd9f8e-ce73-4510-96f5-ad11ebf681ec,g-o-bädd-alle,REM.INTR-RT.EXT.INTR-knock_fruit-HAB.SG`S|A,
53a1f0cb-caee-46c3-ab5d-79f15d4282a3,g-o-pällttän-alle,REM.INTR-RT.EXT.INTR-start_walking-IRR.SG`S,
5ccc4eae-7368-45dd-86ad-e85e3f0549cf,mameat,pawpaw,
b558a798-366f-4c98-bf1d-3555bf0b892d,enda,what,
geya-cop-pst-pl,=geya,COP.PST.PL,
f83deca3-82bf-4597-ad5a-0c633d2bb2fe,däbe,that,
c736588a-150b-48b9-bad1-6431a4001815,d-u-du-n-än,REM.TR-RT.EXT.INTR-blow_down-NPFV-REM|FUT.3SG`S|A,
dd441562-5560-45d2-acac-5ddbf9ed6425,dindu,run,
b6a2bfba-5e87-475d-905d-626d5031b143,-mi,-LOC,
9ec899d8-31a1-4632-b763-a4fea735aeea,Idi,language_name,
4f9e2933-d92c-4a86-a375-f4b7174dc343,eka,language,
8314df7d-6c0f-41d4-a5a4-a915129b6ff2,wiowa,wow,
ffa7969a-d51e-42bf-bb07-f7602ea66995,ao,yes,
ff658959-5df8-49e9-8d3e-2b66def0881a,eka,language,
walle-ins,=walle,INS,
c1deb641-88b2-4adb-a606-6777a6ee930c,g-o-g-on-än,REM.INTR-RT.EXT.INTR-AUX.NPRS-REM|FUT.3SG`S|A-REM|FUT.3SG`S|A,
8e7c3f67-9667-4340-b22a-f38a30144317,kuddäll,dead,
feba531a-ae16-4b85-a29b-ad415abcc27c,bom,3SG.ACC,
e111df76-70f3-453c-b078-e21e12997152,d-ä-g-n-än,REM.TR-3NDU`P-AUX.NPRS-NPFV-REM|FUT.3SG`S|A,
c28bf654-d2c8-46df-85ce-be907b71bd22,anyke,spirit,
c79053bc-93a5-4687-8388-e4f2a9949226,ttam,alive,
54b2f27a-7586-4eae-ae7c-15a876a865df,a-g-an,REC.INTR-AUX.NPRS-REC.1|3SG`S|A,
dcf57252-184b-4ae2-af9c-827346b2c9cb,d-a-ndär-mäll-n-eyo,REM.TR-RT.EXT.TR-hear-DUR-DUR-REM.3DU`S|NSG`A,
b1378dda-aea5-41ef-ad5b-51086b6c4fde,lla gulag,crowd,
a1dc165d-d102-4df7-b62c-4b8015f3972c,ubi,3NSG.NOM,
7e722daa-8dcc-48e3-a4e5-944809c2f36d,ako,then,
16dc675b-2d57-4fda-b4b6-ab02029b74eb,du~duli,ADVthere,
9932562f-f1ae-4f72-8e96-dd1aa9313e3f,d-a-nttäkämäll-eyo,REM.TR-RT.EXT.TR-meet-REM.3DU`S|NSG`A,
ec346883-faf3-4a3a-ae28-ac4e54019930,ka,CNTF,
720a011b-c85e-42a1-b090-056a7bd5ccf6,koenmäll,chase,
6101f112-8d8b-40d0-94d0-71a8725d3544,-erallo,-AUX.PRS.3NSG>3SG,
533d1718-d1ed-464d-b146-454d3b71ee0f,ya,greeting,
9c9e0f2e-78a2-4a64-b623-7a448e1d7538,adawede,so_that,
0bcd5f13-d004-4124-acda-703d64e87792,oba,3NSG.POSS,
4b8b8a4d-7155-4d30-a42b-390624b30986,anyke,spirit,
88a45d9c-c109-45e0-8323-bd58ca222652,da,NOM,
de14d867-aa18-4d75-afc2-5bc52960535f,b-o-wanse-g-än,FUT.1|3`S|A-3NDU`P-leave_alone-III.NPL-REM|FUT.3SG`S|A,
634985ae-b449-47a8-875e-82ac3ecb50b7,duli,away,
d51aca28-897a-40d3-9fba-af3a26da1c2d,diba,that,
aya-cop-pst-sg,=aya,COP.PST.SG,
df540119-22c8-4218-85cc-53579172345d,ge,this,
1e50b11f-9814-4618-bf40-b89bdfd0ad25,da,MED.DEM,
75cad602-1ad8-413b-88fb-042bc7f3e970,lla,person,
yaba-3nsg-poss,=yaba,3NSG.POSS,
668e32be-4840-4f24-a005-528c3c54f06e,pate,AN.ALL,
c4553eda-f4ab-4da0-a9b7-a39992c04ac7,alla,how,
fe2f819e-8893-4ac0-84a3-253ed245aec2,ada,like_this,
f4f4b91e-4e79-4c33-b424-85f2636bea4e,mäse,IMN,
fce714d3-c9bf-4c0a-a8cd-c0b2a67c6eae,-nallan,-AUX.PRS.1|3SG>1|2SG,
945aea73-2d81-48dd-a3da-92425ee9bb85,dowae,proximity,
88f9a265-1dd8-4915-8bb1-d7e30626d333,a-g-an,REC.INTR-AUX.NPRS-REC.1|3SG`S|A,
88bfea3a-97bc-45f2-bd94-1f0c7412e836,de,ACC,
bd2daebb-eaa0-4654-98b3-2102e6e3cd86,ddo~ddollem,INFmake_noise,
073f6bdc-c230-473a-9813-daa15a2d92fd,n-ä-g-neg-an,REC.SG|3PL`P-3NDU`P-AUX.NPRS-SG>PL-REC.1|3SG`S|A,
a360dede-e51a-47a9-8222-6ab46ed8d0b9,adame,this_is_why;_therefore,
27eb0868-8e2a-4c98-a93f-3e04cb8dbbca,ngäna,1SG.NOM,
a2291d79-f376-4ae4-92e6-7e385f9a3e2f,gänya,here,
6ff83f40-9d62-4ca9-ac16-37962e3e8cde,indug-an,run-REC.1|3SG`S|A,
7aaedac9-8cac-42ed-8f99-510117848f55,lel,fear,
54439827-c705-4e6c-bcf1-a08c46951b0c,a,NOM,
7c4603f0-72d8-499e-aff3-50b1403163b6,däbe,that,
023bac6f-5274-49d6-b041-5dfdc7a3eaa6,angde,when,
43f9df34-b3f3-443f-84e0-65aa446259be,lla,man,
bb42c052-b17a-4196-a864-607f31aca6e9,umllang,tell,
82e1d8d5-a82e-4b6e-8f17-0c1e23459a76,Kurupel,male_personal_name,
e56e00cc-fd75-4ed6-b1a8-8018d82ee8ca,mängalae,quickly,
a3f70f0a-ca4c-432d-a371-07080d2b629c,ttongo,another,
90b239b8-4ff0-4561-beba-b93ad9b307d9,nyongo,road,
42d92ea6-f268-43fb-99ac-1cc6a7403889,g-o-ngttäg-än,REM.INTR-RT.EXT.INTR-arrive-REM|FUT.3SG`S|A,
9a77764c-47f1-4da1-8977-d56ce2ed659c,oba,3NSG.POSS,
d9eb6fb5-e668-4659-854a-83b4128bc0e1,e,which,
40d6826b-74e0-41d2-8842-ccf6b9db47e4,eka,speak,
9b6710e4-fde6-4518-8bdf-e34dc101d455,eralla,AUX.PRS.1|2NSG>3SG,
f8bdbb93-2ea9-4729-b79d-6fe5cf93b890,ddone,NEG,
4e83b874-6479-49f6-adda-0722fd0006f8,adingoll,like_this,
62cf7cf5-dac2-4861-9a9a-c5c67ae84652,me,LOC,
9e2beda8-f1b2-4b6b-8910-124c08d9fb55,ada,like_this,
8f3bbba0-2f34-4e91-b18f-9e0933f1f100,ingoll,like,
75cc697f-d3a9-4bc2-9ead-9db725bd68ec,ttoen,way,
101ae877-5daf-40df-88ef-948d4d043da2,a-nges-an,REC.INTR-REC.1|3SG`S|A,
be60c844-a8d1-4571-9628-4110fd1b9b99,llamda,old_man,
69b63c62-0130-4d0a-bea5-b05c197769f8,dägmar,tongue,
1d1c8129-812f-46b6-9a08-26113085e048,täräll,stick_out,
e64124b7-a967-4ba3-bb21-b4dba50795ae,d-ä-g-neg-än,REM.TR-3NDU`P-AUX.NPRS-SG>PL-REM|FUT.3SG`S|A,
6bb7f5a6-cc87-4dc4-87c3-78836b64d0e9,däbe,that,
64e23bf1-db25-4a3f-bd42-94f433bb69dc,d-ä-gag-än,REM.TR-3NDU`P-AUX.NPRS-REM|FUT.3SG`S|A,
d22d8d96-fd6b-4c83-9a66-2d1e7cd31153,täräll,stick_out,
